,character,line,gender
801,BAILIFF,Do you solemnly swear to tell the truth the whole truth and nothing but the truth?,MALE
802,NATASHA ROMANOFF,I do.,FEMALE
803,COMMITTEE GENERAL,Why haven't we yet heard from Captain Rogers?,MALE
804,NATASHA ROMANOFF,I don't know what there is left left for him to say. I think the wreck in the middle of the Potomac made his point fairly eloquently.,FEMALE
805,COMMITTEE GENERAL,"Well, he could explain how this country's expected to maintain its national security now that he and you have laid waste to our intelligence apparatus.",MALE
806,NATASHA ROMANOFF,"HYDRA was selling you lies, not intelligence.",FEMALE
807,COMMITTEE GENERAL,Many of which you seem to have had a personal hand in telling.,MALE
808,SCUDDER,"Agent, you should know that there are some on this committee who feel, given your service record, both for this country and against it, that you belong in a penitentiary, not mouthing off on Capitol Hill.",MALE
809,NATASHA ROMANOFF,You're not gonna put me in a prison. You're not gonna put any of us in a prison. You know why?,FEMALE
810,SCUDDER,Do enlighten us.,MALE
811,NATASHA ROMANOFF,"Because you need us. Yes, the world is a vulnerable place, and yes, we helped make it that way. But we're also the ones best qualified to defend it. So if you want to arrest me, arrest me. You'll know where to find me.",FEMALE
812,NICK FURY,"So, you've experienced this sort of thing before?",MALE
813,STEVE ROGERS,You get used to it.,MALE
814,NICK FURY,"We've been data-mining HYDRA's files. Looks like a lot of rats didn't go down with the ship. I'm headed to Europe tonight, wanted to ask if you'd come.",MALE
815,STEVE ROGERS,There's something I gotta do first.,MALE
816,NICK FURY,"How about you, Wilson? Could use a man with your abilities.",MALE
817,SAM WILSON,I'm more of a soldier than a spy.,MALE
818,NICK FURY,"Alright then.  Anybody asks for me, tell them they can find me right here.",MALE
819,NATASHA ROMANOFF,"You should be honored, that's about as close as he gets to saying thank you.",FEMALE
820,STEVE ROGERS,Not going with him?,MALE
821,NATASHA ROMANOFF,No.,FEMALE
822,STEVE ROGERS,Not staying here?,MALE
823,NATASHA ROMANOFF,"I blew all my covers, I gotta go figure out a new one.",FEMALE
824,STEVE ROGERS,That might take a while.,MALE
825,NATASHA ROMANOFF,"I'm counting on it. That thing you asked for, I called in a few favors from Kiev.  Will you do me a favor? Call that nurse.",FEMALE
826,STEVE ROGERS,She's not a nurse.,MALE
827,NATASHA ROMANOFF,And you're not a SHIELD agent.,FEMALE
828,STEVE ROGERS,What was her name again?,MALE
829,NATASHA ROMANOFF,"Sharon. She's nice.  Be careful, Steve. You might not want to pull on that thread.",FEMALE
830,SAM WILSON,You're going after him?,MALE
831,STEVE ROGERS,You don't have to come with me.,MALE
832,SAM WILSON,I know. When do we start?,MALE
833,LIST,It's over. Fury has released everything to the public.,MALE
834,BARON WOLFGANG VON STRUCKER,Everything he knows about.,MALE
835,LIST,"Herr Strucker, if they get word of our work here, if they find out we serve HYDRA...",MALE
836,BARON WOLFGANG VON STRUCKER,"HYDRA, SHIELD, two sides of a coin that's no longer currency.  What we have is worth more than any of them ever knew. We've only scratched the surface and already...  There are other facilities doing HYDRA's good work around the world. We'll feed them to Captain America and his colorful friends. Keep them off our scent.",MALE
837,LIST,What about the volunteers?,MALE
838,BARON WOLFGANG VON STRUCKER,The dead will be buried so deep their own ghosts won't be able to find them.,MALE
839,LIST,And the survivors?,MALE
840,BARON WOLFGANG VON STRUCKER,"The twins.  Sooner or later they will meet the twins. It's not a world of spies anymore, not even a world of heroes. This is the age of miracles, doctor. There's nothing more horrifying than a miracle.",MALE
