,character,line,gender
164,DARCY LEWIS,"Jane, you were gone for five hours!",FEMALE
165,JANE,What?,FEMALE
166,DARCY LEWIS,That's weird.  Typical.,FEMALE
167,THOR,Jane.,MALE
168,JANE,"Sorry. I just needed to make sure you were real, it's been a very strange day.",FEMALE
169,THOR,"Well, I am. Jane...",MALE
170,JANE,Where were you?!,FEMALE
171,THOR,Where were you? Heimdall could not see you.,MALE
172,JANE,I was right here where you left me. I was waiting and then I was crying and then I went out looking for you. You said you were coming back,FEMALE
173,THOR,"I know, I know, but the Bifrost was destroyed. The Nine Realms erupted into chaos, wars were raging, marauding hordes were pillaging. I had to put an end to the slaughter.",MALE
174,JANE,"As excuses go, that's not terrible. But I saw you on TV, you were...you were in New York!",FEMALE
175,THOR,"Jane, I fought to protect you from the dangers of my world, but I was wrong, I was a fool.  I believe that fate brought us together. Jane, I don't know where you were or what happened, but I do know this.",MALE
176,JANE,What?,FEMALE
177,THOR,I know...,MALE
178,JANE,You do?,FEMALE
179,THOR,Do what?,MALE
180,JANE,Hey! Is that you?,FEMALE
181,JANE,Uh...we're kind of in the middle of something.,FEMALE
182,DARCY LEWIS,Um...I'm pretty sure we are getting arrested.,FEMALE
183,JANE,Hold that thought.,FEMALE
184,DARCY LEWIS,"Look at you, still all muscly and everything. How's space?",FEMALE
185,THOR,Space is fine.,MALE
186,JANE,Excuse me?,FEMALE
187,POLICE OFFICER #1,Are you Jane Foster?,MALE
188,JANE,Yes.,FEMALE
189,POLICE OFFICER #1,Do you know this man?,MALE
190,JANE,He's my intern. My intern's intern.,FEMALE
191,POLICE OFFICER #1,"This is private property and you're trespassing, the lot of you. You'll have to come with me.",MALE
192,THOR,Jane! Jane?  You alright?,MALE
193,JANE,What just happened?,FEMALE
194,POLICE OFFICER #2,"Place your hands on your head, step back!",MALE
195,THOR,The woman is unwell.,MALE
196,POLICE OFFICER #2,She's dangerous.,MALE
197,THOR,So am I.,MALE
198,POLICE OFFICER #2,Requesting armed response officers to the scene.,MALE
199,THOR,Hold on to me.,MALE
200,JANE,What are you doing?,FEMALE
201,DARCY LEWIS,Holy shit!,FEMALE
202,JANE,We have to do that again.  Hi.,FEMALE
203,HEIMDALL,Welcome to Asgard.,MALE
204,MALEKITH,"Look at my legacy, Algrim. I barely remember the time before light.",MALE
205,KURSE,Our survival will be your legacy.,MALE
206,MALEKITH,The Asgardians will suffer as we have suffered. I will reclaim the Aether. I will restore our world and I'll put an end to this poisonous world.,MALE
207,JANE,What's that?,FEMALE
208,EIR,Be still.,FEMALE
209,THOR,"This is not of Earth, what is it?",MALE
210,ASGARDIAN NURSE,"We do not know, but she will not survive the amount of energy surging within her.",FEMALE
211,JANE,"That's a quantum field generator, isn't it?",FEMALE
212,EIR,It's a Soul Forge.,FEMALE
213,JANE,Does a Soul Forge transfer molecular energy from one place to another?,FEMALE
214,EIR,Yes.,FEMALE
215,JANE,It's a quantum field generator.,FEMALE
216,ODIN,My words are mere noises to you that you ignore them completely?,MALE
217,THOR,She's ill.,MALE
218,ODIN,She is mortal. Illness is their defining trait.,MALE
219,THOR,I brought here because we can help her.,MALE
220,ODIN,She does not belong here in Asgard anymore than a goat belongs at a banquet table.,MALE
221,JANE,Did he just...?  Who do you think you are?,FEMALE
222,ODIN,I'm Odin. King of Asgard. Protector of the Nine Realms.,MALE
223,JANE,"Oh. Well, I'm...",FEMALE
224,ODIN,"I know very well who you are, Jane Foster.",MALE
225,JANE,You told your Dad about me?,FEMALE
226,THOR,"Something is within her, father, something I have not seen before.",MALE
227,ODIN,"Her world has its healers, their called doctors, let them deal with it. Guards, take her back to Midgard.",MALE
228,THOR,"Don't touch her.  Jane, are you alright?",MALE
229,ODIN,That's impossible.,MALE
230,EIR,"The infection, it's defending her.",FEMALE
231,THOR,"No, it's defending itself.",MALE
232,ODIN,"Come with me. There are relics that predate the universe itself. What lies within her appears to be one of them. The Nine Realms are not eternal. They had a dawn as they will have a dusk.  But before that dawn the dark forces, the Dark Elves, reigned absolute and unchallenged.",MALE
233,THOR,"""Born of eternal night, the Dark Elves comes to steal away your light."" They were these stories mother told us as children.",MALE
234,ODIN,"Their leader, Malekith made a weapon out of that darkness, it was called the Aether. While the other relics often appeared as stones, the Aether is fluid and ever changing. It changes matter into dark matter and seeks out to host bodies, drawing strength from their life force. Malekith sought to use the Aether's power to return the universe to one of darkness. But after eternities of blood shed, my father Bor, finally triumphed, ushering in the peace that lasted thousands of years.",MALE
235,JANE,What happened?,FEMALE
236,ODIN,He killed them all.,MALE
237,THOR,Are you certain? The Aether was said to have been destroyed with them and yet here it is.,MALE
238,ODIN,The Dark Elves are dead.,MALE
239,JANE,Does your book happen to mention how to get it out of me?,FEMALE
240,ODIN,"No, it does not.",MALE
241,MALEKITH,The Realms will be aligned soon.,MALE
242,MALEKITH,You'll be the last of the Kursed.,MALE
243,KURSE,Let my life be sacrificed. The same as our people.,MALE
244,MALEKITH,"You will become darkness, doomed to this existence until it consumes you.  And then no power of our enemies will stop me.",MALE
245,KURSE,I'll destroy their defenses and resurrect the universe.,MALE
246,LOKI,Odin continues to bring me new friends. How thoughtful.,MALE
247,FRIGGA,"The books I sent, do they not interest you?",MALE
248,LOKI,"Is that how I'm to while away eternity, reading?",MALE
249,FRIGGA,"I've done everything in my power to make you comfortable, Loki.",MALE
250,LOKI,Have you? Does Odin share your concern? Does Thor? It must be so inconvenient them asking after me day and night.,MALE
251,FRIGGA,You know full well it was your actions that brought you here.,MALE
252,LOKI,"My actions. I was merely giving truth to the lie that I had been fed my entire life, that I was born to be a king.",MALE
253,FRIGGA,A king? A true king admits his faults. What of the lives you took on Earth?,MALE
254,LOKI,A mere handful compared to the number that Odin has taken himself.,MALE
255,FRIGGA,Your father...,MALE
256,LOKI,He's not my father!,MALE
257,FRIGGA,Then am I not your mother?,MALE
258,LOKI,You're not.,MALE
259,FRIGGA,Always so perceptive about everyone but yourself.,MALE
260,JANE,"When you came for me, you knew I was in trouble.",FEMALE
261,THOR,"Well Heimdall had lost sight of you, you were no longer on Earth.",MALE
262,JANE,"Well, how's that possible?",FEMALE
263,THOR,"I believe you were in between worlds. The Nine Realms travel within Yggdrasil, orbiting Midgard in much the way your planet orbits the sun. Every five thousand years the worlds align perfectly, we call this the Convergence.  During this time the boarders between worlds become blurred. It's possible you found one of these points. We are lucky that it remained open. Once the worlds pass out of alignment, the connection is lost.",MALE
